Model_name;Category;Subcategory;Description;Notes;Model_page;Download_zip;Preview_image
M000104;Washers;ISO 7094;Washer ISO 7094 A5,5 Extra large series  5,5x18;Washer according to ISO 7094.;modelli/M000104.html;downloads/M000104.zip;previews/M000104.png
M000105;Washers;ISO 7094;Washer ISO 7094 A7 Extra large series  6,6x22;Washer according to ISO 7094.;modelli/M000105.html;downloads/M000105.zip;previews/M000105.png
M000106;Washers;ISO 7094;Washer ISO 7094 A9 Extra large series  9x28;Washer according to ISO 7094.;modelli/M000106.html;downloads/M000106.zip;previews/M000106.png
M000107;Washers;UNI 6592;Washer UNI 6592 A11;Washer according to UNI 6592.;modelli/M000107.html;downloads/M000107.zip;previews/M000107.png
M000108;Washers;UNI 6592;Washer UNI 6592 A13;Washer according to UNI 6592.;modelli/M000108.html;downloads/M000108.zip;previews/M000108.png
M000109;Washers;UNI 6592;Washer UNI 6592 A15;Washer according to UNI 6592.;modelli/M000109.html;downloads/M000109.zip;previews/M000109.png
M000110;Washers;UNI 6592;Washer UNI 6592 A17;Washer according to UNI 6592.;modelli/M000110.html;downloads/M000110.zip;previews/M000110.png
M000111;Washers;UNI 6592;Washer UNI 6592 A19;Washer according to UNI 6592.;modelli/M000111.html;downloads/M000111.zip;previews/M000111.png
M000112;Washers;UNI 6592;Washer UNI 6592 A21;Washer according to UNI 6592.;modelli/M000112.html;downloads/M000112.zip;previews/M000112.png
M000113;Washers;UNI 6592;Washer UNI 6592 A4;Washer according to UNI 6592.;modelli/M000113.html;downloads/M000113.zip;previews/M000113.png
M000114;Washers;UNI 6592;Washer UNI 6592 A5;Washer according to UNI 6592.;modelli/M000114.html;downloads/M000114.zip;previews/M000114.png
M000115;Washers;UNI 6592;Washer UNI 6592 A6;Washer according to UNI 6592.;modelli/M000115.html;;previews/M000115.png
M000117;Washers;UNI 6592;Washer UNI 6592 A7;Washer according to UNI 6592.;modelli/M000117.html;downloads/M000117.zip;previews/M000117.png
M000118;Washers;UNI 6592;Washer UNI 6592 A9;Washer according to UNI 6592.;modelli/M000118.html;downloads/M000118.zip;previews/M000118.png
M000119;Washers;UNI 6598;Square taper washers for U-sections UNI 6598 A11;Washer according to UNI 6598.;modelli/M000119.html;downloads/M000119.zip;previews/M000119.png
M000120;Washers;UNI 6598;Square taper washers for U-sections UNI 6598 A14;Washer according to UNI 6598.;modelli/M000120.html;downloads/M000120.zip;previews/M000120.png
M000121;Washers;UNI 6598;Square taper washers for U-sections UNI 6598 A18;Washer according to UNI 6598.;modelli/M000121.html;downloads/M000121.zip;previews/M000121.png
M000122;Washers;UNI 6598;Square taper washers for U-sections UNI 6598 A22;Washer according to UNI 6598.;modelli/M000122.html;downloads/M000122.zip;previews/M000122.png
M000123;Washers;UNI 6598;Square taper washers for U-sections UNI 6598 A9;Washer according to UNI 6598.;modelli/M000123.html;downloads/M000123.zip;previews/M000123.png
M000124;Washers;UNI-1751;Washer UNI 1751 A11;Washer according to UNI 1751.;modelli/M000124.html;downloads/M000124.zip;previews/M000124.png
M000125;Washers;UNI-1751;Washer UNI 1751 A13;Washer according to UNI 1751.;modelli/M000125.html;downloads/M000125.zip;previews/M000125.png
M000126;Washers;UNI-1751;Washer UNI 1751 A17;Washer according to UNI 1751.;modelli/M000126.html;downloads/M000126.zip;previews/M000126.png
M000127;Washers;UNI-1751;Washer UNI 1751 A5;Washer according to UNI 1751.;modelli/M000127.html;downloads/M000127.zip;previews/M000127.png
M000128;Washers;UNI-1751;Washer UNI 1751 A6;Washer according to UNI 1751.;modelli/M000128.html;downloads/M000128.zip;previews/M000128.png
M000129;Washers;UNI-1751;Washer UNI 1751 A7;Washer according to UNI 1751.;modelli/M000129.html;downloads/M000129.zip;previews/M000129.png
M000130;Washers;UNI-1751;Washer UNI 1751 A9;Washer according to UNI 1751.;modelli/M000130.html;downloads/M000130.zip;previews/M000130.png
